Route,duration_added,Service Hours Canceled,Service Hours Run,count_added,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
111,,1 days 21:29:00,8 days 12:45:00,,31,140,18.17636872252564,18.128654970760234
40,,1 days 10:28:00,13 days 04:26:00,,18,170,9.822361546499478,9.574468085106384
210,,1 days 00:09:00,9 days 23:38:00,,17,159,9.155241043785935,9.659090909090908
577,,0 days 05:12:00,2 days 04:46:00,,5,51,8.970672800460035,8.928571428571429
256,,0 days 04:17:00,2 days 01:47:00,,3,38,7.922318125770653,7.317073170731708
35/38,,0 days 08:38:00,4 days 10:37:00,,7,123,7.4909616775126535,5.384615384615385
240,,0 days 16:39:00,8 days 18:24:00,,14,164,7.333186522792336,7.865168539325842
205,,0 days 08:14:00,5 days 01:07:00,,4,64,6.365159128978225,5.882352941176471
501,,0 days 04:08:00,2 days 19:00:00,,5,77,5.810684161199625,6.097560975609756
166,,0 days 05:21:00,3 days 21:21:00,,6,100,5.420466058763931,5.660377358490566
165,,0 days 07:22:00,6 days 09:02:00,,5,109,4.592684954280965,4.385964912280702
206,,0 days 06:34:00,5 days 17:08:00,,5,112,4.569705404778474,4.273504273504273
251,,0 days 11:13:00,9 days 22:21:00,,9,192,4.494457058902097,4.477611940298507
150,,0 days 03:05:00,3 days 01:52:00,,4,96,4.006930907515703,4.0
180,,0 days 09:05:00,9 days 13:58:00,,6,171,3.7997629505682213,3.389830508474576
605,,0 days 01:45:00,1 days 21:36:00,,4,106,3.6958817317845827,3.6363636363636362
754,,0 days 05:32:00,6 days 01:43:00,,5,135,3.6584022038567494,3.5714285714285716
115,,0 days 07:33:00,8 days 15:55:00,,5,125,3.504022277227723,3.8461538461538463
81,,0 days 06:41:00,7 days 19:43:00,,4,115,3.4379286694101507,3.361344537815126
232,,0 days 05:50:00,6 days 20:25:00,,3,93,3.426333822809594,3.125
2,,0 days 12:30:00,15 days 00:03:00,,8,210,3.3552543282780833,3.669724770642202
Metro G Line (Orange) 901,,0 days 06:42:00,8 days 04:38:00,,8,246,3.2950819672131146,3.1496062992125986
266,,0 days 05:16:00,6 days 10:40:00,,3,96,3.2930387661525637,3.0303030303030303
28,,0 days 06:48:00,8 days 14:01:00,,6,173,3.1952384681650874,3.35195530726257
217,,0 days 05:03:00,6 days 23:58:00,,6,171,2.9187939504864655,3.389830508474576
45,,0 days 06:37:00,10 days 08:37:00,,5,189,2.5923991119237297,2.577319587628866
603,0 days 02:26:00,0 days 04:42:00,8 days 02:13:00,2.0,4,150,2.36279849183075,2.5974025974025974
30,,0 days 03:56:00,8 days 00:52:00,,4,198,1.9986449864498645,1.9801980198019802
51,,0 days 06:20:00,13 days 06:07:00,,5,275,1.9520213694970976,1.7857142857142858
18,,0 days 05:51:00,12 days 18:29:00,,5,258,1.872998932764141,1.9011406844106464
