Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
177,0 days 07:37:00,0 days 06:47:00,17,15,52.89351851851852,53.125
96,0 days 08:33:00,1 days 07:51:00,9,34,21.163366336633665,20.930232558139537
501,0 days 09:33:00,2 days 13:35:00,11,71,13.425492033739456,13.414634146341463
690,0 days 04:33:00,1 days 07:02:00,5,37,12.78688524590164,11.904761904761905
105,1 days 09:38:00,10 days 05:21:00,23,173,12.05567835593524,11.73469387755102
603,0 days 23:51:00,7 days 09:30:00,19,137,11.845045939905637,12.179487179487179
294,0 days 07:04:00,2 days 04:52:00,8,63,11.7908787541713,11.267605633802816
35/38,0 days 12:10:00,4 days 07:05:00,15,115,10.556760665220535,11.538461538461538
10/48,0 days 15:55:00,6 days 01:08:00,12,113,9.883059091379488,9.6
30,0 days 17:26:00,7 days 11:22:00,18,184,8.85840108401084,8.910891089108912
20,0 days 15:58:00,7 days 11:28:00,13,144,8.169878901586218,8.280254777070065
60,1 days 00:36:00,12 days 21:20:00,19,231,7.366739868237173,7.6
266,0 days 11:35:00,6 days 04:21:00,7,92,7.24260108378491,7.070707070707071
210,0 days 18:23:00,10 days 05:24:00,12,164,6.9691034308460225,6.818181818181818
53,0 days 13:25:00,8 days 14:13:00,10,152,6.108665958415541,6.172839506172839
224/690,0 days 07:43:00,5 days 02:53:00,7,122,5.908626850433895,5.426356589147287
16,0 days 16:05:00,11 days 10:39:00,15,260,5.531988076129328,5.454545454545454
240,0 days 12:30:00,8 days 22:33:00,9,169,5.505395287381634,5.056179775280899
70,0 days 15:39:00,11 days 07:13:00,11,193,5.455496165465954,5.392156862745098
251,0 days 13:36:00,9 days 19:58:00,10,191,5.449445705890209,4.975124378109452
577,0 days 03:08:00,2 days 06:50:00,3,53,5.405405405405405,5.357142857142857
152,0 days 08:50:00,6 days 19:54:00,6,119,5.113855654187573,4.8
260,0 days 10:54:00,8 days 18:41:00,7,119,4.919142534787514,5.555555555555555
78,0 days 08:09:00,6 days 21:20:00,8,155,4.697857623210683,4.9079754601226995
28,0 days 09:49:00,8 days 11:00:00,9,170,4.612733965071658,5.027932960893855
51,0 days 14:45:00,12 days 21:42:00,13,267,4.546155031591924,4.642857142857143
Metro J Line (Silver) 910/950,0 days 11:11:00,10 days 01:41:00,10,218,4.422620616925916,4.385964912280702
720,0 days 16:34:00,16 days 20:37:00,13,309,3.9333623521032015,4.037267080745342
14/37,0 days 08:43:00,9 days 00:45:00,6,147,3.866055588409225,3.9215686274509802
165,0 days 06:07:00,6 days 10:17:00,4,110,3.813383208645054,3.508771929824561
40,0 days 12:14:00,14 days 02:40:00,6,182,3.486273392229505,3.1914893617021276
45,0 days 08:39:00,10 days 06:35:00,6,188,3.3890557659657827,3.0927835051546393
204,0 days 07:36:00,9 days 12:11:00,6,182,3.2232982257722487,3.1914893617021276
76,0 days 04:13:00,5 days 10:32:00,3,101,3.129251700680272,2.8846153846153846
234,0 days 05:26:00,7 days 08:33:00,4,165,2.9856213939005403,2.366863905325444
217,0 days 05:05:00,6 days 23:56:00,5,172,2.9380599171563433,2.824858757062147
66,0 days 05:54:00,8 days 04:39:00,5,169,2.912861021969884,2.8735632183908044
605,0 days 01:21:00,1 days 22:00:00,3,107,2.851108764519535,2.727272727272727
162,0 days 04:38:00,6 days 22:46:00,3,118,2.7032283158304162,2.479338842975207
94,0 days 04:42:00,7 days 02:36:00,3,119,2.6811180832857957,2.459016393442623
92,0 days 03:53:00,6 days 00:10:00,2,81,2.622987729370708,2.4096385542168677
207,0 days 08:25:00,13 days 05:07:00,6,258,2.5855007167724757,2.272727272727273
233,0 days 04:32:00,7 days 10:13:00,4,164,2.4806201550387597,2.380952380952381
125,0 days 03:29:00,5 days 19:25:00,2,85,2.437602052717518,2.2988505747126435
55,0 days 03:34:00,6 days 00:51:00,3,130,2.40314430095452,2.255639097744361
18,0 days 07:29:00,12 days 16:51:00,6,257,2.3959445037353255,2.2813688212927756
246,0 days 01:21:00,2 days 10:05:00,2,66,2.2714526079641053,2.9411764705882355
111,0 days 05:08:00,10 days 05:06:00,3,168,2.051418675902491,1.7543859649122806
166,0 days 01:55:00,4 days 01:08:00,2,105,1.9350496382298503,1.8691588785046729
90,0 days 02:03:00,5 days 08:14:00,1,67,1.5734936676474351,1.4705882352941178
230,0 days 00:50:00,2 days 04:17:00,1,61,1.5688735487919674,1.6129032258064515
33,0 days 05:02:00,13 days 10:45:00,3,208,1.5355671937763766,1.4218009478672986
4,0 days 06:10:00,17 days 04:47:00,3,229,1.4719338027608704,1.293103448275862
244,0 days 00:33:00,1 days 14:18:00,1,67,1.4157014157014156,1.4705882352941178
180,0 days 02:53:00,9 days 20:10:00,2,175,1.2061632852262427,1.1299435028248588
232,0 days 02:02:00,7 days 00:13:00,1,95,1.1943220753793442,1.0416666666666667
164,0 days 01:17:00,5 days 06:43:00,1,88,1.0026041666666667,1.1235955056179776
117,0 days 01:29:00,6 days 04:05:00,1,101,0.9917539558725206,0.9803921568627451
2,0 days 01:30:00,15 days 11:03:00,1,217,0.40263051939337,0.45871559633027525
686,0 days 00:00:00,0 days 12:00:00,0,34,0.0,0.0
602,0 days 00:00:00,1 days 16:24:00,0,60,0.0,0.0
158,0 days 00:00:00,1 days 18:44:00,0,34,0.0,0.0
155,0 days 00:00:00,2 days 07:36:00,0,36,0.0,0.0
611,0 days 00:00:00,1 days 17:09:00,0,36,0.0,0.0
617,0 days 00:00:00,1 days 05:05:00,0,41,0.0,0.0
62,0 days 00:00:00,3 days 20:10:00,0,49,0.0,0.0
154,0 days 00:00:00,1 days 04:37:00,0,32,0.0,0.0
660,0 days 00:00:00,1 days 03:00:00,0,77,0.0,0.0
662,0 days 00:00:00,1 days 20:32:00,0,47,0.0,0.0
665,0 days 00:00:00,0 days 11:22:00,0,32,0.0,0.0
237,0 days 00:00:00,2 days 10:41:00,0,38,0.0,0.0
150,0 days 00:00:00,3 days 04:57:00,0,100,0.0,0.0
601,0 days 00:00:00,0 days 23:26:00,0,114,0.0,0.0
128,0 days 00:00:00,1 days 11:00:00,0,33,0.0,0.0
754,0 days 00:00:00,6 days 07:15:00,0,140,0.0,0.0
127,0 days 00:00:00,2 days 07:56:00,0,57,0.0,0.0
761,0 days 00:00:00,7 days 10:57:00,0,96,0.0,0.0
120,0 days 00:00:00,3 days 05:55:00,0,40,0.0,0.0
81,0 days 00:00:00,8 days 02:24:00,0,119,0.0,0.0
115,0 days 00:00:00,8 days 23:28:00,0,130,0.0,0.0
110,0 days 00:00:00,6 days 11:34:00,0,99,0.0,0.0
108,0 days 00:00:00,10 days 20:07:00,0,174,0.0,0.0
Metro G Line (Orange) 901,0 days 00:00:00,8 days 11:20:00,0,254,0.0,0.0
106,0 days 00:00:00,5 days 22:43:00,0,107,0.0,0.0
130,0 days 00:00:00,1 days 07:29:00,0,49,0.0,0.0
550,0 days 00:00:00,1 days 10:49:00,0,38,0.0,0.0
161,0 days 00:00:00,1 days 16:34:00,0,35,0.0,0.0
211/215,0 days 00:00:00,0 days 21:40:00,0,20,0.0,0.0
102,0 days 00:00:00,2 days 07:46:00,0,40,0.0,0.0
236/235,0 days 00:00:00,2 days 18:27:00,0,66,0.0,0.0
256,0 days 00:00:00,2 days 06:04:00,0,41,0.0,0.0
258,0 days 00:00:00,2 days 16:25:00,0,40,0.0,0.0
222,0 days 00:00:00,1 days 19:01:00,0,39,0.0,0.0
265,0 days 00:00:00,1 days 10:57:00,0,32,0.0,0.0
218,0 days 00:00:00,1 days 00:51:00,0,38,0.0,0.0
267,0 days 00:00:00,1 days 08:56:00,0,45,0.0,0.0
268,0 days 00:00:00,0 days 23:35:00,0,34,0.0,0.0
212,0 days 00:00:00,7 days 04:44:00,0,139,0.0,0.0
287,0 days 00:00:00,1 days 11:04:00,0,38,0.0,0.0
209,0 days 00:00:00,1 days 00:12:00,0,32,0.0,0.0
242/243,0 days 00:00:00,1 days 20:43:00,0,96,0.0,0.0
206,0 days 00:00:00,5 days 23:42:00,0,117,0.0,0.0
344,0 days 00:00:00,1 days 17:34:00,0,42,0.0,0.0
205,0 days 00:00:00,5 days 09:21:00,0,68,0.0,0.0
202,0 days 00:00:00,0 days 20:06:00,0,29,0.0,0.0
182,0 days 00:00:00,2 days 23:23:00,0,74,0.0,0.0
460,0 days 00:00:00,5 days 16:07:00,0,68,0.0,0.0
487,0 days 00:00:00,2 days 08:22:00,0,58,0.0,0.0
179,0 days 00:00:00,1 days 16:48:00,0,61,0.0,0.0
169,0 days 00:00:00,2 days 22:28:00,0,36,0.0,0.0
534,0 days 00:00:00,1 days 14:39:00,0,39,0.0,0.0
167,0 days 00:00:00,2 days 11:08:00,0,41,0.0,0.0
Metro L Line (Gold) Shuttle 854,0 days 00:00:00,1 days 10:42:00,0,130,0.0,0.0
