date,line,ridership,ridership_2019,ridership_2018
2019-10-01,10,12887.0,11441.75,11697.0
2019-11-01,10,11227.0,11441.75,11697.0
2019-12-01,10,10161.0,11441.75,11697.0
2019-02-01,10,11272.0,11441.75,11697.0
2019-03-01,10,11844.0,11441.75,11697.0
2019-04-01,10,11641.0,11441.75,11697.0
2019-05-01,10,12094.0,11441.75,11697.0
2019-06-01,10,11182.0,11441.75,11697.0
2019-07-01,10,10450.0,11441.75,11697.0
2019-08-01,10,11417.0,11441.75,11697.0
2019-09-01,10,12771.0,11441.75,11697.0
2020-01-01,10,10528.0,11441.75,11697.0
2020-10-01,10,4659.0,11441.75,11697.0
2020-11-01,10,4557.0,11441.75,11697.0
2020-12-01,10,4088.0,11441.75,11697.0
2020-02-01,10,11664.0,11441.75,11697.0
2020-03-01,10,6887.0,11441.75,11697.0
2020-04-01,10,2561.0,11441.75,11697.0
2020-05-01,10,2937.0,11441.75,11697.0
2020-06-01,10,3636.0,11441.75,11697.0
2020-07-01,10,4217.0,11441.75,11697.0
2020-08-01,10,4453.0,11441.75,11697.0
2020-09-01,10,4643.0,11441.75,11697.0
2021-01-01,10,3832.0,11441.75,11697.0
2021-02-01,10,4230.0,11441.75,11697.0
2019-10-01,102,2732.0,2473.1666666666665,2473.25
2019-11-01,102,2454.0,2473.1666666666665,2473.25
2019-12-01,102,2305.0,2473.1666666666665,2473.25
2019-02-01,102,2348.0,2473.1666666666665,2473.25
2019-03-01,102,2417.0,2473.1666666666665,2473.25
2019-04-01,102,2454.0,2473.1666666666665,2473.25
2019-05-01,102,2571.0,2473.1666666666665,2473.25
2019-06-01,102,2478.0,2473.1666666666665,2473.25
2019-07-01,102,2442.0,2473.1666666666665,2473.25
2019-08-01,102,2563.0,2473.1666666666665,2473.25
2019-09-01,102,2735.0,2473.1666666666665,2473.25
2020-01-01,102,2405.0,2473.1666666666665,2473.25
2020-10-01,102,1399.0,2473.1666666666665,2473.25
2020-11-01,102,1364.0,2473.1666666666665,2473.25
2020-12-01,102,1247.0,2473.1666666666665,2473.25
2020-02-01,102,2582.0,2473.1666666666665,2473.25
2020-03-01,102,1693.0,2473.1666666666665,2473.25
2020-04-01,102,799.0,2473.1666666666665,2473.25
2020-05-01,102,1017.0,2473.1666666666665,2473.25
2020-06-01,102,1265.0,2473.1666666666665,2473.25
2020-07-01,102,1273.0,2473.1666666666665,2473.25
2020-08-01,102,1338.0,2473.1666666666665,2473.25
2020-09-01,102,1353.0,2473.1666666666665,2473.25
2021-01-01,102,1195.0,2473.1666666666665,2473.25
2021-02-01,102,1327.0,2473.1666666666665,2473.25
2019-10-01,105/705,16465.0,15513.0,15699.916666666666
2019-11-01,105/705,15517.0,15513.0,15699.916666666666
2019-12-01,105/705,14704.0,15513.0,15699.916666666666
2019-02-01,105/705,15246.0,15513.0,15699.916666666666
2019-03-01,105/705,15659.0,15513.0,15699.916666666666
2019-04-01,105/705,15667.0,15513.0,15699.916666666666
2019-05-01,105/705,16139.0,15513.0,15699.916666666666
2019-06-01,105/705,15547.0,15513.0,15699.916666666666
2019-07-01,105/705,14816.0,15513.0,15699.916666666666
2019-08-01,105/705,15411.0,15513.0,15699.916666666666
2019-09-01,105/705,16530.0,15513.0,15699.916666666666
2020-01-01,105/705,15050.0,15513.0,15699.916666666666
2020-10-01,105/705,9764.0,15513.0,15699.916666666666
2020-11-01,105/705,9794.0,15513.0,15699.916666666666
2020-12-01,105/705,10160.0,15513.0,15699.916666666666
2020-02-01,105/705,16128.0,15513.0,15699.916666666666
2020-03-01,105/705,10517.0,15513.0,15699.916666666666
2020-04-01,105/705,5356.0,15513.0,15699.916666666666
2020-05-01,105/705,6884.0,15513.0,15699.916666666666
2020-06-01,105/705,8444.0,15513.0,15699.916666666666
2020-07-01,105/705,9114.0,15513.0,15699.916666666666
2020-08-01,105/705,9240.0,15513.0,15699.916666666666
2020-09-01,105/705,9635.0,15513.0,15699.916666666666
2021-01-01,105/705,8443.0,15513.0,15699.916666666666
2021-02-01,105/705,9378.0,15513.0,15699.916666666666
2019-10-01,106,508.0,413.4166666666667,401.9166666666667
2019-11-01,106,445.0,413.4166666666667,401.9166666666667
2019-12-01,106,360.0,413.4166666666667,401.9166666666667
2019-02-01,106,407.0,413.4166666666667,401.9166666666667
2019-03-01,106,420.0,413.4166666666667,401.9166666666667
2019-04-01,106,409.0,413.4166666666667,401.9166666666667
2019-05-01,106,436.0,413.4166666666667,401.9166666666667
2019-06-01,106,398.0,413.4166666666667,401.9166666666667
2019-07-01,106,379.0,413.4166666666667,401.9166666666667
2019-08-01,106,380.0,413.4166666666667,401.9166666666667
2019-09-01,106,506.0,413.4166666666667,401.9166666666667
2020-01-01,106,378.0,413.4166666666667,401.9166666666667
2020-12-01,106,175.0,413.4166666666667,401.9166666666667
2020-02-01,106,453.0,413.4166666666667,401.9166666666667
2020-03-01,106,282.0,413.4166666666667,401.9166666666667
2020-04-01,106,120.0,413.4166666666667,401.9166666666667
2021-01-01,106,174.0,413.4166666666667,401.9166666666667
2021-02-01,106,187.0,413.4166666666667,401.9166666666667
2019-10-01,108,16001.0,14971.166666666666,15228.75
2019-11-01,108,15037.0,14971.166666666666,15228.75
2019-12-01,108,14388.0,14971.166666666666,15228.75
2019-02-01,108,14798.0,14971.166666666666,15228.75
2019-03-01,108,14844.0,14971.166666666666,15228.75
2019-04-01,108,14676.0,14971.166666666666,15228.75
2019-05-01,108,15209.0,14971.166666666666,15228.75
2019-06-01,108,15121.0,14971.166666666666,15228.75
2019-07-01,108,14438.0,14971.166666666666,15228.75
2019-08-01,108,15040.0,14971.166666666666,15228.75
2019-09-01,108,15931.0,14971.166666666666,15228.75
2020-01-01,108,14970.0,14971.166666666666,15228.75
2020-10-01,108,8219.0,14971.166666666666,15228.75
2020-11-01,108,8008.0,14971.166666666666,15228.75
2020-12-01,108,7343.0,14971.166666666666,15228.75
2020-02-01,108,15780.0,14971.166666666666,15228.75
2020-03-01,108,10495.0,14971.166666666666,15228.75
2020-04-01,108,5108.0,14971.166666666666,15228.75
2020-05-01,108,5987.0,14971.166666666666,15228.75
2020-06-01,108,6987.0,14971.166666666666,15228.75
2020-07-01,108,7380.0,14971.166666666666,15228.75
2020-08-01,108,7717.0,14971.166666666666,15228.75
2020-09-01,108,8056.0,14971.166666666666,15228.75
2021-01-01,108,6781.0,14971.166666666666,15228.75
2021-02-01,108,7302.0,14971.166666666666,15228.75
2019-10-01,110,8336.0,7802.666666666667,8343.416666666666
2019-11-01,110,7640.0,7802.666666666667,8343.416666666666
2019-12-01,110,7241.0,7802.666666666667,8343.416666666666
2019-02-01,110,7830.0,7802.666666666667,8343.416666666666
2019-03-01,110,8054.0,7802.666666666667,8343.416666666666
2019-04-01,110,7973.0,7802.666666666667,8343.416666666666
